"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"socs3b",0,2,0,87,0,1,0,0,0,0,0,0,0,0,0,0,63,0,0,5,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,258,0
"socs4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"socs5b",1,68,11,17,90,0,37,1,3,9,7,46,72,79,3,36,205,53,21,67,143,20,2,13,101,1,28,1,1,191,0,227,289,2,0,1,41,1,369,1,1,4,379,0,10
"socs7",43,0,0,32,0,0,1,51,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0,40,0,37,1,0,64,0,0,0,6,0,157,0,0,2,0,0,7,15,0,0
"socs9",0,0,0,62,0,0,124,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"sod1",788,181,41,468,558,161,346,246,489,702,483,371,1966,865,485,728,1156,852,263,1540,1589,803,870,705,298,666,456,690,697,612,1328,1104,737,853,1164,83,549,541,702,640,979,364,756,636,573
"sod2",166,4,92,125,87,73,145,1,106,230,136,71,422,114,74,150,48,37,52,1,76,492,22,1,154,3,52,96,141,192,9,121,78,136,167,165,108,9,13,5,2,179,119,189,17
"soga1",184,17,15,361,298,4,94,216,108,371,556,297,138,455,21,18,3,1,77,497,212,1,83,131,273,77,1,329,506,35,64,85,348,6,333,182,12,957,221,25,737,250,15,725,80
"sorbs2a",48,216,104,13,76,39,217,123,91,18,126,86,66,277,10,258,240,19,3,76,5,19,118,42,18,123,6,11,96,23,215,131,12,13,19,118,20,139,155,132,94,12,12,26,20
"sorbs3",195,0,0,3,221,1,0,4,1,0,32,3,2,1,1,1,84,0,13,89,2,3,0,0,0,1,185,0,0,0,2,1,94,0,1,0,0,6,0,1,7,1,6,137,0
