"","G2.P2.G2P4R6.brain","H2.P2.G1P3P5.brain","B3.P2.O2P4P5.brain","C3.P2.O1R4G5.brain","E3.P2.G2R4P6.brain","G3.P2.G2G4R5.brain","H3.P2.O3O4R6.brain","C4.P2.R1G2R5.brain","D4.P2.O1P2R4.brain","E4.P2.R2R5G6.brain","H4.P2.G2G3O4.brain","A5.P2.R3O5G6.brain","B5.P2.G2P3O6.brain","C5.P2.G3O4G6.brain","G5.P2.R1G3O5.brain","H5.P2.O1R2G6.brain","A6.P2.G1G2G6.brain","D6.P2.G3P4O5.brain","F6.P2.O2O3G6.brain","G6.P2.R1R4R6.brain","C7.P2.G2O3O4.brain","E7.P2.O1G2P3.brain","F7.P2.P3O5R6.brain","G7.P2.O1P5R6.brain","H7.P2.O2P3O6.brain","B8.P2.P3R4G6.brain","D8.P2.R3P5G6.brain","A9.P2.P1G4G5.brain","B9.P2.O2R5R6.brain","E9.P2.G4G5R6.brain","H9.P2.R1O2P4.brain","B10.P2.G1O5P6.brain","C10.P2.R2O3O5.brain","D10.P2.R3O5O6.brain","F10.P2.R2P5P6.brain","G10.P2.R1O2P6.brain","B11.P2.G1R2P5.brain","C11.P2.P2G3P6.brain","D11.P2.G1R4P6.brain","F11.P2.G1O3R6.brain","G11.P2.R1P2O5.brain","H11.P2.P3O5O6.brain","A12.P2.R3R5R6.brain","D12.P2.R3G5O6.brain","G12.P2.P3O4R6.brain"
"acot11b",2,14,0,22,0,1,0,2,4,0,0,0,122,1,0,7,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"acot7",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,0,0,0,0,0,0,41,0,0,1,0,1,0
"acot8",54,0,184,1,10,161,13,3,0,211,3,0,2,0,1,1,0,0,142,1,52,0,37,92,10,1,82,75,65,1,23,67,0,0,0,232,31,181,98,1,3,18,96,0,63
"acot9.1",96,0,0,0,0,0,4,25,1,1,0,1,1,62,0,0,0,0,11,2,0,0,14,0,0,1,46,0,0,1,0,0,0,8,0,0,0,0,0,0,0,99,78,46,1
"acox1",187,74,565,211,214,511,261,849,190,86,9,28,553,23,69,194,257,152,3,165,502,152,30,44,25,23,0,330,69,98,2,238,282,862,444,332,306,114,122,262,261,58,1,84,11
"acox3",12,19,2,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,131,0,44,0,13,1,133,4,83,0,0,0,0,0,0,0,0,0,2,0
"acp1",427,19,142,18,36,10,38,27,1,101,21,54,45,49,129,191,3,97,265,81,42,91,35,176,2,11,25,451,30,0,455,7,271,207,25,197,220,80,0,9,133,67,81,419,36
"acp2",100,9,0,0,22,0,20,20,61,0,1,0,0,0,0,0,0,0,0,0,141,0,0,1,0,0,0,24,0,0,0,0,0,0,7,1,0,157,0,1,6,0,1,0,0
"acp3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"acp5a",1,0,0,0,1,0,85,0,0,0,0,0,0,0,59,1,0,0,0,0,39,0,191,7,25,0,0,67,0,0,0,50,6,0,0,1,0,0,0,1,1,0,0,0,0
"acp6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acsbg2",105,74,37,22,431,43,604,180,92,265,34,49,116,20,0,242,220,6,24,12,125,444,2,120,0,263,28,244,95,325,1,237,0,164,2,45,19,61,270,38,323,7,90,19,114
"acsf2",0,0,8,0,0,0,0,14,1,1,1,24,1,0,2,0,0,1,1,0,0,0,0,102,0,11,7,1,0,1,26,38,0,0,47,1,1,1,0,0,14,370,0,178,1
"acsf3",72,0,0,0,0,176,0,208,73,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,1,1,0,23,0,13,0,0,0,1,0,0,0,26,122,1,0
"acsl1a",6,34,337,50,162,9,346,0,0,162,99,291,16,320,3,58,5,6,51,133,706,5,1,13,1,152,5,2,119,2,4,41,13,32,0,107,2,309,4,2,407,4,3,8,1
"acsl2",35,40,144,234,1,0,45,955,3,55,3,52,52,24,84,36,82,1,14,8,535,17,85,18,250,46,6,41,192,45,277,233,368,3,109,290,0,382,2,301,211,181,66,77,109
"acsl3a",0,0,0,0,0,0,0,1,0,0,0,0,0,0,111,0,0,0,0,0,0,0,42,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,0,0
"acsl3b",0,44,208,142,184,0,63,0,5,17,5,124,0,2,78,9,45,4,237,69,11,3,4,5,0,9,0,18,127,12,44,71,49,27,25,15,101,2,3,2,7,53,2,1,44
"acsl4a",183,1,38,38,240,0,159,339,164,294,1,0,515,101,27,303,83,2,102,29,142,50,271,72,136,3,0,587,172,275,18,86,169,16,837,31,122,3,12,56,86,4,107,17,1
"acsl5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"acsl6",0,16,52,1,1,0,199,8,141,12,0,273,22,5,15,1,0,0,44,58,1,1,7,55,62,35,0,1,1,75,0,283,13,143,97,4,170,1,49,3,0,2,36,1,1
"acss1",0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acss2",106,4,0,42,0,164,271,65,5,4,0,35,24,101,13,1,0,1,507,0,0,0,77,166,0,1,0,50,106,0,5,129,20,0,0,9,38,286,52,36,9,43,26,2,49
"acss2l",28,33,12,0,0,0,1,1,0,0,3,20,0,0,14,0,1,1,0,5,0,0,1,0,0,0,0,80,0,58,0,0,0,0,0,76,1,0,216,1,0,1,97,1,207
"acss3",0,0,0,0,0,0,0,51,0,0,0,0,1,1,0,0,0,0,0,23,0,8,0,0,0,0,0,0,1,30,87,0,0,6,0,0,0,112,1,0,376,0,0,0,0
"acta1b",155,116,70,39,144,59,111,273,96,80,124,24,228,43,46,94,135,36,44,283,68,35,111,192,59,57,34,252,70,12,120,271,162,49,333,102,50,29,194,19,327,15,90,138,21
"acta2",0,52,0,0,0,25,79,32,74,1,217,0,41,30,1,0,6,16,115,164,0,4,2,0,0,0,1,2,11,0,134,34,0,0,252,6,131,0,1,1,0,0,34,3,183
"actb1",511,142,192,116,391,240,131,578,83,303,75,383,355,509,82,250,218,208,95,256,258,10,128,133,12,316,326,93,205,312,6,148,225,297,1,406,32,438,19,111,174,17,76,28,189
"actb2",5448,3226,6466,3829,3086,3719,4928,7671,3267,5829,2837,2810,5422,4753,2772,6176,4975,3014,4636,3946,4550,5124,4315,2699,4032,4991,3529,5661,4788,3387,2591,5817,4392,4724,5991,5045,2781,6676,4402,3003,7486,3482,3068,3277,3444
"actc1a",44,25,16,22,18,164,8,63,26,10,134,4,329,21,14,233,9,147,10,45,113,12,15,19,86,106,32,7,22,8,17,143,39,31,150,145,71,159,28,11,12,77,11,41,7
"actl6a",139,120,1,180,0,17,30,2,47,41,0,0,0,0,34,114,74,0,173,1,134,7,21,16,3,0,2,159,1,3,124,221,42,0,66,31,40,39,43,2,35,1,18,62,116
"actn1",0,0,3,0,2,0,3,1,2,1,1,18,1,1,3,2,1,5,1,0,0,1,3,0,0,2,41,1,2,236,1,1,0,1,0,2,1,163,117,58,5,4,47,0,0
"actn2b",0,0,38,0,62,0,0,2,2,2,6,3,1,0,0,2,0,3,2,0,0,1,1,0,1,0,1,0,0,0,2,69,0,1,1,0,1,147,1,1,271,0,0,1,1
"actn3b",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0
"actn4",6,0,62,0,0,0,87,5,0,0,0,0,0,1,83,2,3,0,4,0,11,0,49,131,0,23,0,0,0,0,0,39,6,0,59,0,0,0,0,0,132,0,0,1,0
"actr1",382,380,401,208,52,260,425,346,182,267,81,187,452,143,309,122,131,51,753,94,272,180,337,134,340,435,35,554,104,106,5,226,398,290,146,44,351,959,118,51,349,265,148,4,49
"actr10",82,141,25,323,511,113,686,930,600,4,456,189,216,963,79,23,202,150,106,552,217,398,202,267,480,128,548,105,88,396,2,938,14,32,638,11,91,315,231,336,438,68,318,367,336
"actr3b",306,15,0,239,0,2,12,0,0,54,0,0,120,0,1,2,22,0,1,4,14,0,256,1,21,12,1,421,0,0,0,3,1,134,102,189,1,0,8,0,113,0,0,145,2
"actr5",0,0,1,0,0,0,0,0,1,0,0,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,41,0,0,24,0,0,0,29,0,0,0,2,0,0,22,0,1,0,0
"actr6",10,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,0,0,0,0,18,93
"actr8",0,0,0,0,0,0,0,2,0,0,83,0,0,48,0,0,0,2,0,11,0,0,0,0,117,0,0,0,0,0,0,1,23,0,91,1,0,0,0,0,306,0,35,192,0
"acvr1ba",0,0,0,1,0,116,0,0,1,0,0,0,0,0,0,122,113,0,0,0,0,0,0,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acvr1l",0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acvr2ba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"acvrl1",19,180,322,0,0,5,205,188,67,80,1,2,100,88,1,4,0,61,102,0,203,1,0,6,0,41,10,1,4,172,0,248,218,0,289,4,104,0,2,1,1,3,47,77,1
"acyp1",74,203,2,1,4,30,84,2,2,0,0,141,568,18,1,288,54,33,0,1,0,23,3,15,0,1,77,0,7,0,281,0,36,40,14,2,0,1,128,0,18,0,120,711,5
"ada",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,52,0,0,0,0,363,0,0,1,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"ada2a",1,0,0,0,0,0,0,1,0,0,0,1,198,0,12,0,0,0,0,1,0,0,0,169,0,15,0,30,1,0,0,140,3,0,0,154,1,0,23,0,17,0,30,1,0
"ada2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adad1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adad2",0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0
"adal",0,0,0,0,195,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,33,0,0,2,0,0,0,0,1,35,0,0,1,0,0,0
"adam10a",4,2,88,1,52,0,1,0,0,0,0,48,237,4,0,0,85,200,3,72,0,2,7,0,0,0,1,0,0,1,1,114,0,0,128,19,0,1,46,2,3,0,32,0,0
"adam11",8,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,2,0,0,0
"adam12",103,0,3,1,0,0,73,100,4,3,307,1,1,45,0,0,0,1,1,200,0,200,0,61,0,62,65,26,164,0,0,39,0,38,0,1,0,1,0,0,43,22,87,1,1
"adam15",0,0,1,0,0,0,0,11,2,5,0,0,0,78,0,2,64,30,123,0,84,15,7,0,21,0,0,215,2,0,1,1,0,0,0,1,18,0,0,0,0,0,19,0,0
"adam17a",56,0,0,0,0,0,55,0,0,0,0,46,0,0,1,0,0,1,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0
"adam17b",0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,31,0,0,11,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"adam19a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adam19b",0,0,136,0,0,0,0,0,2,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,2,0
"adam22",49,46,78,0,66,3,0,191,85,149,1,164,7,2,108,1,0,0,0,4,0,6,0,32,18,0,201,0,307,0,1,0,10,190,1,22,0,0,128,7,0,173,0,5,2
"adam28",39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,257,0,0,0,0,0,0,1,0,1,0,0,0,0
"adam8a",0,0,6,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,98,0,0,0,0,6,274,0,0,0,0,1,0,0,5,0,1,0,8,0,1
"adam8b",0,0,0,0,0,0,0,107,0,57,0,80,0,0,0,0,0,50,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,82,0,45,1,0,0,0,0,0,0,0,0
"adam9",39,0,190,0,0,6,0,0,1,0,1,52,0,1,1,0,0,0,0,0,24,94,0,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,62,1,0,0,0,0,1
"adamts1",1,0,0,0,0,0,0,0,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,137,0,4,0,0,0,0,0,0,0,2,0,0
"adamts10",0,0,0,0,0,0,0,77,15,0,0,0,0,1,0,1,23,0,0,0,1,0,0,0,123,0,0,0,1,0,0,1,71,0,0,2,29,0,96,0,1,8,0,0,0
"adamts12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"adamts13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adamts15a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adamts17",0,74,1,64,0,0,6,0,0,0,0,0,0,0,2,0,9,0,0,0,0,222,0,0,0,0,1,22,0,74,0,0,0,0,2,80,0,1,54,0,0,0,0,0,0
"adamts18",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adamts3",0,0,0,0,0,0,0,0,1,0,0,24,357,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"adamts6",0,0,0,0,31,0,0,170,0,0,0,1,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,56,1,0,0,0,0,110,4,0,9,0,1,0,0
"adamts9",27,0,1,0,1,1,0,1,0,3,0,1,1,278,1,196,0,2,3,0,131,1,1,0,1,0,1,1,1,0,0,2,0,1,1,1,0,1,1,1,2,0,0,1,0
"adamtsl2",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,74,0,0,0,0,0,0
"adamtsl3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,85,0,0,0,0,0,1,0,0,1,0,0,0,0,48,0,0,103,0,0,0,1,0,0,0,14,100,0,16
"adamtsl4",0,1,1,1,0,0,0,0,0,57,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adamtsl5",0,0,0,2,0,1,44,1,0,135,1,13,0,64,1,83,167,0,108,0,0,42,1,0,0,0,1,0,4,183,27,113,0,139,0,0,6,1,81,23,16,1,96,1,1
"adamtsl7",0,0,0,0,1,1,0,0,0,2,0,9,0,2,1,0,0,0,40,87,0,0,0,1,0,0,54,0,0,0,0,62,1,0,180,0,201,56,0,0,1,0,7,1,0
"adap2",0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adar",0,0,18,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"adarb1b",112,6,229,173,94,78,155,46,468,127,2,352,208,1,239,298,3,1,0,134,0,2,46,153,101,88,91,373,208,59,452,105,384,128,61,553,87,106,211,85,333,195,30,104,4
"adarb2",2,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0
"adat1",329,22,0,11,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adat2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adat3",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,96,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,11,0,1,58,0,20,20
"adck1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adck2",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,34,21,0,0,0,0,0,0,0,0,2,25,0
"adck5",42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0
"adcy1a",0,0,0,0,38,0,7,0,0,0,0,0,0,0,0,230,0,0,0,0,181,234,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,141,0,0,0,92
"adcy2a",20,0,73,0,252,0,0,2,102,1,9,184,65,22,12,24,94,211,1,1,0,1,1,0,35,0,1,0,131,0,1,103,22,0,0,27,0,0,32,0,86,66,93,20,11
"adcy2b",1,104,1,1,0,0,0,0,46,0,0,0,0,0,0,10,79,12,5,0,0,0,0,0,1,0,0,1,0,0,0,2,1,69,0,27,97,0,7,1,0,125,0,0,0
"adcy3a",285,114,283,0,3,290,64,96,113,170,22,89,149,42,416,343,272,52,524,192,145,5,17,128,192,276,175,325,588,241,624,242,599,12,342,666,175,26,483,141,836,123,267,207,95
"adcy5",0,18,0,0,120,1,1,97,3,0,0,120,0,1,145,0,1,0,0,23,0,0,2,0,71,2,0,0,0,0,127,26,149,0,3,1,2,1,262,1,0,0,1,0,158
"adcy7",0,28,15,106,0,164,164,3,124,0,14,0,0,11,22,1,39,2,1,170,0,384,0,4,0,4,102,0,284,18,1,10,1,23,309,18,1,63,0,34,25,0,90,4,13
"adcy8",5,0,13,0,0,0,1,309,3,123,0,32,1,0,0,0,156,0,70,22,0,5,1,42,93,28,36,46,1,1,1,35,1,96,0,0,42,0,43,0,1,0,8,0,0
"adcy9",0,0,1,0,0,0,0,37,0,0,0,0,1,27,0,0,0,0,0,0,0,136,0,0,1,0,0,0,0,0,0,73,0,38,0,1,0,1,1,0,0,0,0,0,0
"adcyap1a",1020,846,2173,1068,188,1024,2079,1236,711,941,745,453,944,881,726,709,960,282,1011,313,782,1439,913,735,122,1231,101,893,1922,393,635,761,1294,1136,1988,410,220,612,332,303,2550,770,720,993,971
"adcyap1b",2769,2623,5036,3618,2421,2837,5158,4282,2861,7356,2408,1884,2864,3843,3666,4217,3970,2362,3337,3187,3864,3098,4058,3035,2575,3603,1463,4303,6450,3435,2985,5047,4495,5668,4696,2858,3682,4190,2725,3001,11558,2344,3812,1897,2630
"add1",211,325,1000,381,899,492,185,664,343,268,590,144,448,186,348,352,342,703,473,759,765,162,509,168,276,708,164,696,154,506,758,792,502,254,1480,361,254,601,96,206,1450,244,377,390,885
"add2",1,0,81,0,1,21,9,3,186,415,21,5,5,210,1,4,9,1,0,191,0,1,1,0,2,1,0,0,136,1,21,0,1,0,2,7,33,8,25,1,43,51,6,2,0
"add3a",2,1,0,0,0,0,48,0,1,1,0,14,2,1,3,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,1,0,110,1,46,1,1,0,2,0,0,1,0
"add3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgb",0,0,0,0,0,0,151,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,49,0,0
"adgra1a",290,0,0,0,13,0,0,123,127,47,73,0,1,263,107,2,0,0,0,0,3,69,4,2,0,108,1,6,118,0,0,81,101,68,0,250,164,211,96,0,201,592,10,2,60
"adgra3",0,0,0,12,0,0,0,0,0,1,0,0,1,2,0,0,90,1,0,0,0,0,0,0,249,1,0,0,134,1,0,7,51,1,0,0,0,3,0,3,0,29,0,3,0
"adgrb1a",79,67,814,100,308,4,169,342,164,67,27,142,26,117,21,631,17,5,157,163,82,24,63,166,56,122,37,138,293,621,3,500,254,98,38,33,21,37,232,92,469,156,324,14,316
"adgrb2",873,102,318,875,2,930,279,937,337,996,135,198,404,127,382,1057,416,7,515,642,391,532,179,184,905,454,9,626,1067,676,194,419,720,322,923,248,80,555,573,404,151,349,706,506,261
"adgrb3",1035,806,951,1463,462,679,886,1511,834,1473,234,487,689,1019,864,1247,801,296,1295,1347,452,566,712,467,410,715,305,763,1079,647,675,1855,1479,977,1024,1075,756,410,557,642,1608,462,897,884,1099
"adgrd1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
"adgrd2",0,4,1,1,0,182,0,2,0,0,0,0,1,0,26,0,74,0,3,0,2,0,1,1,0,1,1,0,2,0,0,0,0,31,132,1,0,0,91,0,0,2,113,0,40
"adgrf3a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,7,1,0,0,135,0,0,0,0,0,0,0,0,0,0
"adgrf3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgrg2a",0,0,0,51,95,149,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,1,0,217,0,0,3,8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"adgrg4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgrg6",0,0,0,0,0,0,7,0,1,100,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgrg7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adgrl1a",78,45,487,149,330,1,237,366,143,142,43,9,147,14,49,464,161,1,149,39,148,15,245,332,0,268,123,6,234,65,1,151,318,108,315,2,180,12,109,1,654,161,175,22,240
"adgrl2a",450,96,422,106,146,656,294,1,150,507,159,159,141,339,30,370,362,70,1,24,371,88,108,60,23,468,33,1,205,398,41,347,67,311,340,10,80,66,38,102,101,247,79,205,99
"adgrl3.1",132,119,450,161,265,185,326,3,316,835,3,171,444,220,29,30,82,270,384,244,93,175,34,88,102,217,78,336,204,186,15,635,0,286,85,138,397,189,295,5,122,248,179,25,148
"adgrl4",42,2,9,53,1,3,0,149,0,364,1,0,1,3,3,2,18,130,85,1,0,3,129,4,2,1,0,4,0,3,1,1,0,23,40,55,1,2,52,0,1,0,2,299,160
"adgrv1",26,1,212,0,64,0,0,71,194,0,1,0,0,1,47,1,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,60,0,1,0,0,201,0,61,47,0,0,1
"adh5",5,43,18,158,245,1,157,253,15,365,55,24,74,209,38,4,20,145,222,2,186,142,18,199,47,77,0,120,1,38,46,186,187,101,84,282,26,66,228,436,524,3,254,720,2
"adhfe1",80,0,0,0,0,1,180,0,1,2,0,0,1,1,0,1,82,0,9,111,0,0,1,1,1,21,0,0,0,0,0,2,0,0,1,1,0,1,16,0,622,39,69,120,0
"adi1",193,25,156,37,0,3,0,3,3,65,0,0,0,0,19,82,10,0,0,55,0,748,176,1,9,130,90,0,1,2,89,78,0,1,0,1,2,56,29,56,33,10,62,1,0
"adipor1a",107,124,6,20,2,3,197,1,81,70,26,47,1,4,0,181,348,39,10,20,174,2,226,119,101,95,1,207,0,40,308,241,415,1,308,275,7,53,48,273,127,123,109,21,1
"adipor2",113,39,3,9,2,80,135,221,63,1,2,6,84,75,3,94,135,1,166,0,158,54,37,0,197,2,0,164,1,29,103,305,137,66,707,56,1,1,201,8,310,4,20,6,159
"adm2a",0,0,1,0,0,0,0,0,0,0,0,0,0,0,71,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,96,0,0,0,0,0,0,0,2,0
"adm2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adma",5,0,0,0,126,0,0,42,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,19,0,0,0
"admp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"adnp2b",1,0,117,1,0,1,3,1,0,1,0,1,48,0,0,0,0,0,39,0,0,35,65,0,1,2,15,16,26,2,0,12,0,9,311,1,0,0,0,0,0,0,0,21,0
"adnpa",33,26,40,165,86,9,4,1,102,0,119,359,114,219,2,89,1,170,249,230,58,61,1,57,0,13,16,5,77,0,42,113,44,68,156,1,4,112,246,69,164,0,121,200,4
"adnpb",7,11,197,148,70,307,0,1,5,1,3,87,0,0,40,1,0,0,0,0,5,1,0,105,2,53,1,0,0,1,0,2,0,7,901,0,1,259,208,527,1,7,0,103,133
"adoa",74,13,36,0,0,0,0,86,2,0,3,31,0,14,17,50,0,1,121,0,0,2,1,114,0,0,2,84,0,49,13,1,107,0,0,71,141,2,0,196,1,34,6,27,1
